Date;Open;High;Low;Close;Adj Close;Volume;Variation;Operation(1=BUY,0=NONE,-1=SELL)
13/07/2021;8824,299805;8832,200195;8676,700195;8694,799805;8694,799805;133852800;-1,382607861;-1
14/07/2021;8674,700195;8712;8625,599609;8658,299805;8658,299805;120506000;-0,419791149;0
15/07/2021;8626,400391;8626,400391;8507,400391;8527;8527;131271100;-1,516461753;-1
16/07/2021;8546,599609;8607,400391;8423,099609;8506,200195;8506,200195;147772600;-0,243928756;0
19/07/2021;8450,900391;8455,200195;8252,200195;8301,700195;8301,700195;212387300;-2,404128698;-1
20/07/2021;8337,799805;8384,799805;8265,599609;8358;8358;155554100;0,678171985;0
21/07/2021;8390,900391;8585,400391;8384,299805;8567;8567;160923000;2,500598229;1
22/07/2021;8604,099609;8683,700195;8601,5;8621,799805;8621,799805;140853100;0,63966155;0
23/07/2021;8657,400391;8757,5;8652,099609;8717,200195;8717,200195;123289800;1,106502032;1
26/07/2021;8655,099609;8786,700195;8630,700195;8775,200195;8775,200195;136517300;0,665351245;0
27/07/2021;8723,700195;8768,5;8651,700195;8699,200195;8699,200195;131607900;-0,866077107;-1
28/07/2021;8716,900391;8774,599609;8691,799805;8733,700195;8733,700195;153261800;0,396588183;0
29/07/2021;8765,099609;8840,700195;8753,799805;8786,299805;8786,299805;188717200;0,602260312;0
30/07/2021;8737,5;8753,5;8665,700195;8675,700195;8675,700195;203148300;-1,258773459;-1
02/08/2021;8723,299805;8815,200195;8723,299805;8758,700195;8758,700195;140846000;0,956695115;1
03/08/2021;8780,200195;8824,200195;8735,599609;8772,799805;8772,799805;131903900;0,160978338;0
04/08/2021;8806,599609;8806,599609;8735,400391;8792,900391;8792,900391;117417500;0,229123956;0
05/08/2021;8780;8842,299805;8747,400391;8836,5;8836,5;108944800;0,495850141;0
06/08/2021;8839,900391;8892,599609;8796,799805;8879;8879;139018600;0,480959656;0
09/08/2021;8870,200195;8893,700195;8843,599609;8865,900391;8865,900391;102353900;-0,147534734;0
10/08/2021;8867,599609;8903,200195;8842,400391;8899;8899;106389600;0,373336125;0
11/08/2021;8915,900391;8981,5;8911,900391;8975,799805;8975,799805;112210300;0,863016125;1
12/08/2021;8974,099609;8999,599609;8961,5;8979,400391;8979,400391;98153900;0,040114375;0
13/08/2021;8987,900391;9015,700195;8978,099609;8999,799805;8999,799805;90564900;0,227180136;0
16/08/2021;8933,700195;8979,900391;8900,200195;8926,599609;8926,599609;96313400;-0,813353603;-1
17/08/2021;8872,400391;8880,200195;8833,299805;8865,700195;8865,700195;128850900;-0,682224102;0
18/08/2021;8852,700195;8978,299805;8845,900391;8970,200195;8970,200195;112288100;1,178699908;1
19/08/2021;8839,900391;8952,200195;8809,200195;8902,200195;8902,200195;137588100;-0,758065578;-1
20/08/2021;8893,700195;8941,099609;8851,5;8915,299805;8915,299805;126918700;0,147150252;0
23/08/2021;8973,400391;8989,900391;8910,900391;8968,099609;8968,099609;91085100;0,59223812;0
24/08/2021;8996,099609;9010,900391;8884,299805;8948,599609;8948,599609;101636400;-0,217437371;0
